Country Name,USD PPP,Trust Score
Afghanistan,1972.18,0.444444444
Albania,12943.46,0.347368421
Algeria,15260.35,0.359756098
Argentina,20784.77,0.515789474
Armenia,9647.49,0.388235294
Australia,48460.05,0.626262626
Austria,52397.75,0.565656566
Azerbaijan,17398.16,0.538888889
Bangladesh,3868.82,0.575268817
Belarus,18836.52,0.467032967
Belgium,47840.2,0.673469388
Benin,2271.68,0.339506173
Bolivia,7559.64,0.336956522
Bosnia Herzegovina,13107.72,0.320652174
Botswana,16988.12,0.457317073
Brazil,15483.54,0.411458333
Bulgaria,20947.99,0.447674419
Burkina Faso,1862.21,0.428571429
Burundi,733.89,0.345238095
Cambodia,4009.06,0.508928571
Cameroon,3714.55,0.402439024
Canada,46704.89,0.611702128
Chad,1941.18,0.36
Chile,24634.97,0.447368421
China,16806.74,0.575949367
Colombia,14472.61,0.382978723
Comoros,2745.19,0.341176471
"Congo, Rep.",5442.71,0.309210526
Costa Rica,17073.52,0.515306122
Croatia,26288.04,0.472527473
Cyprus,34503.47,0.536144578
Czech Republic,36327.25,0.592391304
Denmark,51364.14,0.62
Dominican Republic,16029.62,0.442708333
Ecuador,11587.45,0.359375
Egypt,11583.79,0.597222222
El Salvador,8006.06,0.348958333
Estonia,31742.03,0.581395349
Eswatini,N/A,0.443181818
Ethiopia,1899.21,0.526666667
Finland,44865.84,0.641414141
France,42850.39,0.560606061
Gabon,18074.94,0.288888889
Georgia,10683.1,0.409090909
Germany,50638.89,0.565656566
Ghana,4492.32,0.551724138
Greece,27601.9,0.440217391
Guatemala,8150.25,0.326086957
Guinea,2242.26,0.536585366
Haiti,1814.94,0.434065934
Honduras,4986.23,0.397849462
Hungary,28107.89,0.494565217
Iceland,53152.7,0.641414141
India,7059.32,0.539325843
Indonesia,12283.62,0.426829268
Iran,20840.51,0.58125
Iraq,16899.2,0.468085106
Ireland,75648.23,0.671717172
Israel,38261.68,0.576530612
Italy,39426.94,0.53
Ivory Coast,3936.4,0.308823529
Japan,43278.99,0.521276596
Jordan,9153.35,0.460227273
Kazakhstan,26434.93,0.547058824
Kenya,3285.43,0.414893617
Kosovo,N/A,0.430851064
Kuwait,71943.01,0.567567568
Kyrgyzstan,3725.54,0.47826087
Laos,7023.37,0.521428571
Latvia,28198.83,0.512987013
Lebanon,14481.96,0.479381443
Liberia,1282.58,0.505813953
Libya,19631.3,0.534883721
Lithuania,32997.54,0.530120482
Luxembourg,103744.76,0.56122449
Macedonia,15290.31,0.31547619
Madagascar,1555.04,0.35443038
Malawi,1202.2,0.483516484
Malaysia,29448.95,0.5
Mali,2213.52,0.542253521
Malta,41034.14,0.643617021
Mauritania,3949.68,0.225806452
Mauritius,22308.81,0.426315789
Mexico,18273.48,0.428571429
Moldova,5697.83,0.318681319
Mongolia,12918.41,0.470238095
Montenegro,19351.89,0.271084337
Morocco,8217.46,0.513157895
Mozambique,1247.6,0.538461538
Myanmar,6160.7,0.636363636
Namibia,10448.71,0.323863636
Nepal,2696.69,0.540540541
Netherlands,52503.27,0.565656566
New Zealand,41109.01,0.637755102
Nicaragua,5842.17,0.335106383
Niger,1016.6,0.65060241
Nigeria,5874.7,0.510989011
Norway,61414.28,0.256410256
Pakistan,5527.38,0.204081633
Palestine,4885.34,0.269736842
Panama,24468.94,0.265060241
Paraguay,13081.58,0.106557377
Peru,13434.23,0.227272727
Philippines,8342.8,0.169354839
Poland,29122.09,0.218390805
Portugal,31672.71,0.140449438
Romania,26656.77,0.211111111
Russia,25533,0.234177215
Rwanda,2039.17,0.197674419
Saudi Arabia,53779.02,0.404494382
Senegal,3450.21,0.333333333
Serbia,15428.8,0.32278481
Sierra Leone,1527.13,0.18
Singapore,93905.42,0.356164384
Slovakia,31616.48,0.279069767
Slovenia,34868.21,0.154761905
South Africa,13497.55,0.096385542
South Korea,38335.27,0.316901408
Spain,37997.85,0.077922078
Sri Lanka,12835.33,0.218085106
Sweden,50208.16,0.301136364
Switzerland,64712.13,0.173913043
Taiwan,N/A,0.115384615
Tajikistan,3194.99,0.15
Tanzania,2945.88,0.318681319
Thailand,17872.22,0.269230769
The Gambia,1695.52,0.255434783
Togo,1659.9,0.337078652
Tunisia,11910.95,0.686440678
Turkey,26518.85,0.302469136
Turkmenistan,17992.77,0.253246753
UAE,73878.47,0.204301075
Uganda,1864.22,0.423076923
UK,43268.78,0.233766234
Ukraine,8666.9,0.203296703
Uruguay,22562.46,0.202380952
USA,59531.66,0.21686747
Uzbekistan,6865,0.212643678
Venezuela,17639.89,0.336734694
Vietnam,6775.83,0.186567164
Yemen,2600.87,0.475609756
Zambia,4024.05,0.425
Zimbabwe,2428.56,0.330882353
