,Country,Year,CountryCode,SDG,Value_sum
19,Afghanistan,2018,AFG,15,44.84876244
39,Albania,2018,ALB,15,68.47157709
59,Algeria,2018,DZA,15,49.14820074
79,Angola,2018,AGO,15,40.51055912
99,Argentina,2018,ARG,15,58.5171552
119,Armenia,2018,ARM,15,49.28477441
139,Australia,2018,AUS,15,60.84496983
159,Austria,2018,AUT,15,65.78289149
179,Azerbaijan,2018,AZE,15,52.84562757
199,Bangladesh,2018,BGD,15,49.74336641
219,Belgium,2018,BEL,15,68.1311354
239,Belize,2018,BLZ,15,58.17890316
259,Bhutan,2018,BTN,15,68.614433
279,Bosnia and Herzegovina,2018,BIH,15,49.62844793
299,Botswana,2018,BWA,15,57.3176644
319,Brazil,2018,BRA,15,66.0493009
339,Brunei Darussalam,2018,BRN,15,59.84401396
359,Burkina Faso,2018,BFA,15,75.86089753
379,Burundi,2018,BDI,15,72.64144627
399,Cambodia,2018,KHM,15,66.69850069
419,Cameroon,2018,CMR,15,67.7913341
439,Canada,2018,CAN,15,58.3541069
459,Chad,2018,TCD,15,59.71828529
479,Chile,2018,CHL,15,54.41670534
499,China,2018,CHN,15,48.92033036
519,Colombia,2018,COL,15,53.70980818
539,Costa Rica,2018,CRI,15,66.96846215
559,Croatia,2018,HRV,15,71.38883609
579,Cuba,2018,CUB,15,62.87576678
599,Djibouti,2018,DJI,15,31.92879834
619,Ecuador,2018,ECU,15,65.59870428
639,El Salvador,2018,SLV,15,51.79978178
659,Eritrea,2018,ERI,15,51.4233256
679,Ethiopia,2018,ETH,15,59.94343037
699,Finland,2018,FIN,15,82.68421528
719,France,2018,FRA,15,70.36587403
739,Georgia,2018,GEO,15,52.99995098
759,Germany,2018,DEU,15,75.78922131
779,Greece,2018,GRC,15,64.16566054
799,Guatemala,2018,GTM,15,64.24147027
819,Guinea,2018,GIN,15,65.28220673
839,Hungary,2018,HUN,15,75.55675442
859,India,2018,IND,15,61.53760295
879,Indonesia,2018,IDN,15,42.90077299
899,Iraq,2018,IRQ,15,43.75938505
919,Ireland,2018,IRL,15,62.27260523
939,Italy,2018,ITA,15,51.81765163
959,Japan,2018,JPN,15,74.39690835
979,Jordan,2018,JOR,15,38.86449635
999,Lebanon,2018,LBN,15,55.29735405
1019,Liberia,2018,LBR,15,53.95979339
1039,Madagascar,2018,MDG,15,63.10172503
1059,Malawi,2018,MWI,15,68.52616
1079,Malaysia,2018,MYS,15,61.81001
1099,Mexico,2018,MEX,15,56.12673
1119,Mongolia,2018,MNG,15,60.977
1139,Morocco,2018,MAR,15,63.22401
1159,Mozambique,2018,MOZ,15,53.58846
1179,Myanmar,2018,MMR,15,57.93789
1199,Namibia,2018,NAM,15,69.30502
1219,Nepal,2018,NPL,15,60.892
1239,New Zealand,2018,NZL,15,50.40734
1259,Nicaragua,2018,NIC,15,63.19977
1279,Nigeria,2018,NGA,15,59.33617
1299,Norway,2018,NOR,15,69.38734
1319,Pakistan,2018,PAK,15,39.88667
1339,Paraguay,2018,PRY,15,60.66238
1359,Peru,2018,PER,15,65.32995
1379,Poland,2018,POL,15,75.37255
1399,Portugal,2018,PRT,15,71.91411
1419,Romania,2018,ROU,15,66.58886
1439,Rwanda,2018,RWA,15,11.09837
1459,Sao Tome and Principe,2018,STP,15,64.11516
1479,Serbia,2018,SRB,15,61.14351
1499,Sierra Leone,2018,SLE,15,51.06943
1519,Somalia,2018,SOM,15,42.07206
1539,South Africa,2018,ZAF,15,56.30223
1559,South Sudan,2018,SSD,15,36.54656
1579,Spain,2018,ESP,15,68.07805
1599,Sri Lanka,2018,LKA,15,52.04954
1619,Suriname,2018,SUR,15,44.81811
1639,Sweden,2018,SWE,15,77.80817
1659,Switzerland,2018,CHE,15,67.55489
1679,Tajikistan,2018,TJK,15,36.60821
1699,Thailand,2018,THA,15,63.60976
1719,Tunisia,2018,TUN,15,40.7228
1739,Turkey,2018,TUR,15,45.84599
1759,Turkmenistan,2018,TKM,15,31.9962
1779,Uganda,2018,UGA,15,70.57206
1799,Ukraine,2018,UKR,15,51.40614
1819,Zambia,2018,ZMB,15,68.98796
1839,Zimbabwe,2018,ZWE,15,65.94044
