"","Entity","Code","SDG","Year","value","value_norm"
"1","Argentina","ARG","14_c_1_1",2020,67,0.67
"2","Austria","AUT","14_c_1_1",2020,100,1
"3","Azerbaijan","AZE","14_c_1_1",2020,67,0.67
"4","Bangladesh","BGD","14_c_1_1",2020,100,1
"5","Belarus","BLR","14_c_1_1",2020,67,0.67
"6","Belize","BLZ","14_c_1_1",2020,100,1
"7","Bulgaria","BGR","14_c_1_1",2020,100,1
"8","Burundi","BDI","14_c_1_1",2020,0,0
"9","China","CHN","14_c_1_1",2020,100,1
"10","Colombia","COL","14_c_1_1",2020,0,0
"11","Croatia","HRV","14_c_1_1",2020,100,1
"12","Czechia","CZE","14_c_1_1",2020,100,1
"13","Denmark","DNK","14_c_1_1",2020,100,1
"14","Ecuador","ECU","14_c_1_1",2020,100,1
"15","Estonia","EST","14_c_1_1",2020,100,1
"16","Germany","DEU","14_c_1_1",2020,100,1
"17","Greece","GRC","14_c_1_1",2020,100,1
"18","Guyana","GUY","14_c_1_1",2020,67,0.67
"19","Iceland","ISL","14_c_1_1",2020,100,1
"20","Iraq","IRQ","14_c_1_1",2020,33,0.33
"21","Ireland","IRL","14_c_1_1",2020,100,1
"22","Japan","JPN","14_c_1_1",2020,100,1
"23","Kazakhstan","KAZ","14_c_1_1",2020,0,0
"24","Liechtenstein","LIE","14_c_1_1",2020,0,0
"25","Lithuania","LTU","14_c_1_1",2020,100,1
"26","Madagascar","MDG","14_c_1_1",2020,67,0.67
"27","Malaysia","MYS","14_c_1_1",2020,67,0.67
"28","Mauritius","MUS","14_c_1_1",2020,100,1
"29","Montenegro","MNE","14_c_1_1",2020,67,0.67
"30","Namibia","NAM","14_c_1_1",2020,100,1
"31","New Zealand","NZL","14_c_1_1",2020,100,1
"32","Pakistan","PAK","14_c_1_1",2020,67,0.67
"33","Panama","PAN","14_c_1_1",2020,100,1
"34","Peru","PER","14_c_1_1",2020,0,0
"35","Philippines","PHL","14_c_1_1",2020,100,1
"36","Portugal","PRT","14_c_1_1",2020,100,1
"37","Qatar","QAT","14_c_1_1",2020,67,0.67
"38","Romania","ROU","14_c_1_1",2020,100,1
"39","Slovakia","SVK","14_c_1_1",2020,100,1
"40","Slovenia","SVN","14_c_1_1",2020,100,1
"41","South Korea","KOR","14_c_1_1",2020,100,1
"42","South Sudan","SSD","14_c_1_1",2020,0,0
"43","Suriname","SUR","14_c_1_1",2020,67,0.67
"44","Switzerland","CHE","14_c_1_1",2020,67,0.67
"45","United Kingdom","GBR","14_c_1_1",2020,100,1
